<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
MGNT;D;240312;000000;7750;7794;7701.5;7744;207141
MGNT;D;240313;000000;7748.5;7764;7630;7648.5;160664
MGNT;D;240314;000000;7648;7648;7551;7607.5;256929
MGNT;D;240315;000000;7604.5;7695;7591.5;7611.5;180574
MGNT;D;240318;000000;7628.5;7676;7609;7636;105591
MGNT;D;240319;000000;7632.5;7686.5;7573;7586;218406
MGNT;D;240320;000000;7575.5;7663;7522;7599;208718
MGNT;D;240321;000000;7615.5;7650;7560;7604;114889
MGNT;D;240322;000000;7604.5;7608.5;7374.5;7410.5;475127
MGNT;D;240325;000000;7447;7640;7432.5;7611.5;306770
MGNT;D;240326;000000;7645.5;7700;7598.5;7689;189715
MGNT;D;240327;000000;7691;7749.5;7625;7709;305180
MGNT;D;240328;000000;7709.5;7878;7690;7740.5;690256
MGNT;D;240329;000000;7770;7968;7736;7896;447784
MGNT;D;240401;000000;7905.5;7988;7890;7943;283304
MGNT;D;240402;000000;7945;7965;7752.5;7818;374396
MGNT;D;240403;000000;7834;7860;7755;7804;227480
MGNT;D;240404;000000;7805;7920;7780;7864.5;218658
MGNT;D;240405;000000;7870;7943.5;7808.5;7840;172789
MGNT;D;240408;000000;7853;8000;7832;8000;282686
MGNT;D;240409;000000;8030;8065;7890;7935;212859
MGNT;D;240410;000000;7939.5;7967;7875.5;7918;117119
MGNT;D;240411;000000;7920;7958.5;7880;7880.5;68415
MGNT;D;240412;000000;7886.5;8000;7882;7991.5;205188
MGNT;D;240415;000000;7994.5;8258;7976.5;8248.5;453541
MGNT;D;240416;000000;8247.5;8365.5;8111.5;8232;427173
MGNT;D;240417;000000;8233.5;8257;8126.5;8160;138745
MGNT;D;240418;000000;8161.5;8192;8046.5;8078.5;230366
MGNT;D;240419;000000;8105.5;8230;8055;8181.5;152668
MGNT;D;240422;000000;8189;8281;8169;8204;216754
MGNT;D;240423;000000;8215.5;8300;8131;8211.5;260953
MGNT;D;240424;000000;8214.5;8277.5;8111;8153;210195
MGNT;D;240425;000000;8143.5;8198.5;8100;8122;72609
MGNT;D;240426;000000;8122;8329;8113.5;8310;249403
MGNT;D;240427;000000;8313;8330;8163;8235;229613
MGNT;D;240429;000000;8234.5;8360;8177;8324;192250
MGNT;D;240430;000000;8322;8431.5;8302.5;8405;170149
MGNT;D;240502;000000;8400;8430;8206;8283;165514
MGNT;D;240503;000000;8285;8321;8227;8259.5;133153
MGNT;D;240506;000000;8268.5;8306.5;8183.5;8209.5;96097
MGNT;D;240507;000000;8211;8294;8203;8267;134590
MGNT;D;240508;000000;8270;8316;8238;8247;104826
MGNT;D;240510;000000;8252;8380.5;8250.5;8370.5;104661
